league_name,season,team,player,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,shots_on
ENG-Premier League,2526,Arsenal,Ben White,D S,7,406,0,0.2704902347177267,0,0.2704902347177267,1,1.1466932483017445,4,6,0,0,2.7815939486026764,1.907339196652174,
ENG-Premier League,2526,Arsenal,Bukayo Saka,F M S,24,1740,5,7.919184840284288,4,7.158016002736986,3,6.025512583553791,56,47,1,0,17.281369537115097,7.304609648883343,
ENG-Premier League,2526,Arsenal,Christian Nørgaard,S,4,27,0,0.048741746693849564,0,0.048741746693849564,0,0.0,1,0,0,0,0.5345648117363453,0.4858230650424957,
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,D S,12,545,0,0.0,0,0.0,0,0.1350230686366558,0,2,1,0,3.2411459013819695,3.180575631558895,
ENG-Premier League,2526,Arsenal,David Raya,GK,28,2520,0,0.0,0,0.0,0,0.1493939720094204,0,3,1,0,5.551798628643155,5.460807407274842,
ENG-Premier League,2526,Arsenal,Declan Rice,D M S,27,2333,4,3.5467025320976973,4,3.5467025320976973,4,6.294226221740246,34,51,2,0,16.219498492777348,10.829763071611524,
ENG-Premier League,2526,Arsenal,Eberechi Eze,F M S,23,1254,6,3.4498570058494806,6,3.4498570058494806,2,2.4457648880779743,39,12,1,0,8.368447791785002,3.2789736967533827,
ENG-Premier League,2526,Arsenal,Ethan Nwaneri,S,6,154,0,0.3292111651971936,0,0.3292111651971936,0,0.048408184200525284,6,1,0,0,1.166222719475627,0.9847383946180344,
ENG-Premier League,2526,Arsenal,Gabriel,D S,22,1897,3,3.1688173543661833,3,3.1688173543661833,3,2.0966507494449615,16,5,2,0,6.376777697354555,5.897617369890213,
ENG-Premier League,2526,Arsenal,Gabriel Jesus,F S,11,283,2,2.5946019776165485,2,2.5946019776165485,0,0.08349096029996872,14,1,2,0,2.3332987390458584,0.6240958645939827,
ENG-Premier League,2526,Arsenal,Gabriel Martinelli,F M S,22,684,1,3.960797619074583,1,3.960797619074583,2,1.5631729662418365,23,8,2,0,6.81438996642828,2.5040688533335924,
ENG-Premier League,2526,Arsenal,Jurriën Timber,D S,27,2258,2,3.3576842173933983,2,3.3576842173933983,4,2.4264707444235682,23,25,5,0,11.119746943935752,8.524770045652986,
ENG-Premier League,2526,Arsenal,Kai Havertz,M S,3,163,0,0.1728373020887375,0,0.1728373020887375,1,0.1853250376880169,3,3,0,0,0.5471468977630138,0.21469010040163994,
ENG-Premier League,2526,Arsenal,Leandro Trossard,F M S,24,1620,5,5.654567743651569,5,5.654567743651569,5,3.2758772391825914,42,28,1,0,11.220377249643207,4.257271036505699,
ENG-Premier League,2526,Arsenal,Martin Odegaard,M S,20,1057,1,1.0983065199106932,1,1.0983065199106932,5,3.974275888875127,20,29,0,0,9.711462166160345,6.450560929253697,
ENG-Premier League,2526,Arsenal,Martín Zubimendi,M S,28,2385,5,2.587212845683098,5,2.587212845683098,1,0.8392688743770123,22,15,4,0,12.056266732513905,10.308074416592717,
ENG-Premier League,2526,Arsenal,Max Dowman,S,2,24,0,0.15431709215044975,0,0.15431709215044975,0,0.0,3,0,0,0,0.12994308397173882,0.0,
ENG-Premier League,2526,Arsenal,Mikel Merino,F M S,21,977,4,4.551519326865673,4,4.551519326865673,3,2.2901399955153465,21,12,1,0,7.0440468192100525,3.1536439023911953,
ENG-Premier League,2526,Arsenal,Myles Lewis-Skelly,D S,14,285,0,0.06967075169086456,0,0.06967075169086456,0,0.12228979542851448,1,3,3,0,1.1322807930409908,0.9733922854065895,
ENG-Premier League,2526,Arsenal,Noni Madueke,F M S,19,859,1,1.661171793937683,1,1.661171793937683,1,2.5331555157899857,17,15,0,0,5.073039170354605,2.794727548956871,
ENG-Premier League,2526,Arsenal,Piero Hincapié,D S,18,1309,1,0.39727197121828794,1,0.39727197121828794,1,1.302315779030323,2,11,2,0,6.2402359545230865,5.426226831972599,
ENG-Premier League,2526,Arsenal,Riccardo Calafiori,D S,20,1391,1,2.5522291101515293,1,2.5522291101515293,2,0.3853544294834137,24,4,5,0,6.858921185135841,5.737467268481851,
ENG-Premier League,2526,Arsenal,Viktor Gyokeres,F S,26,1761,10,9.158837836235762,8,7.636500161141157,0,1.9975714338943362,41,15,4,0,11.013190269470215,2.6657961811870337,
ENG-Premier League,2526,Arsenal,William Saliba,D S,23,1889,0,1.028752788901329,0,1.028752788901329,0,0.38150496780872345,4,5,1,0,9.526558240875602,9.038474727421999,
ENG-Premier League,2526,Aston Villa,Alysson Edward,S,2,16,0,0.0,0,0.0,0,0.0,0,0,0,0,0.05114538408815861,0.05114538408815861,
ENG-Premier League,2526,Aston Villa,Amadou Onana,M S,19,1329,2,1.8126329593360424,2,1.8126329593360424,0,0.35743536055088043,12,3,2,0,3.4108765479177237,2.5119454842060804,
ENG-Premier League,2526,Aston Villa,Andrés García,S,3,29,0,0.0,0,0.0,0,0.0,0,0,0,0,0.43621760606765747,0.43621760606765747,
ENG-Premier League,2526,Aston Villa,Boubacar Kamara,M S,18,1434,1,1.0521572744473815,1,1.0521572744473815,3,0.7290232917293906,7,15,5,0,5.69795267097652,4.270241666585207,
ENG-Premier League,2526,Aston Villa,Bradley Burrowes,S,1,12,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,
ENG-Premier League,2526,Aston Villa,Donyell Malen,F M S,21,600,4,4.73893653601408,4,4.73893653601408,1,0.36938193812966347,26,7,0,0,6.387579720467329,1.917095586657524,
ENG-Premier League,2526,Aston Villa,Douglas Luiz,M S,13,728,0,0.511469628661871,0,0.511469628661871,0,1.3754995642229915,9,17,2,0,2.937512841075659,1.8685868829488754,
ENG-Premier League,2526,Aston Villa,Emiliano Buendía,M S,26,1312,5,3.217120067216456,5,3.217120067216456,2,2.0304381921887398,38,22,5,0,6.063880357891321,2.1818810030817986,
ENG-Premier League,2526,Aston Villa,Emiliano Martinez,GK,24,2117,0,0.0,0,0.0,0,0.0,0,0,2,0,2.8680239655077457,2.8680239655077457,
ENG-Premier League,2526,Aston Villa,Evann Guessand,M S,16,699,1,1.7833428084850311,1,1.7833428084850311,2,1.2377337515354156,10,5,0,0,3.6505997143685818,1.244725327938795,
ENG-Premier League,2526,Aston Villa,Ezri Konsa Ngoyo,D,27,2406,0,0.8423888944089413,0,0.8423888944089413,0,0.5653226673603058,9,4,0,1,5.875965591520071,5.353438433259726,
ENG-Premier League,2526,Aston Villa,George Hemmings,S,2,19,0,0.01938827894628048,0,0.01938827894628048,0,0.0,1,0,0,0,0.3816603980958462,0.36227211728692055,
ENG-Premier League,2526,Aston Villa,Harvey Elliott,M S,5,110,0,0.2895753085613251,0,0.2895753085613251,0,0.09384871274232864,5,1,0,0,0.7380336094647646,0.41253812797367573,
ENG-Premier League,2526,Aston Villa,Ian Maatsen,D S,22,1150,0,1.0339584182947874,0,1.0339584182947874,0,1.8169562611728907,17,18,2,0,3.5467857494950294,2.525420166552067,
ENG-Premier League,2526,Aston Villa,Jadon Sancho,M S,17,662,0,0.732707379385829,0,0.732707379385829,1,1.6139056719839573,9,16,0,0,3.9477359242737293,2.0088102035224438,
ENG-Premier League,2526,Aston Villa,Jamaldeen Jimoh,S,1,5,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3433566093444824,0.3433566093444824,
ENG-Premier League,2526,Aston Villa,John McGinn,M S,22,1663,3,2.3858819976449013,3,2.3858819976449013,2,1.9973520254716277,18,22,3,0,5.81129614263773,2.51037806738168,
ENG-Premier League,2526,Aston Villa,Lamare Bogarde,D M S,22,638,0,0.0,0,0.0,0,0.04115242511034012,0,2,5,0,1.739380568265915,1.6982281506061554,
ENG-Premier League,2526,Aston Villa,Leon Bailey,M S,6,206,0,0.2665048725903034,0,0.2665048725903034,0,0.3198755607008934,5,7,1,0,0.4385438598692417,0.11925280839204788,
