league_name,season_label,matches
Bundesliga,2021/2022,153
Bundesliga,2022/2023,306
Bundesliga,2023/2024,306
Bundesliga,2024/2025,306
Bundesliga,2025/2026,206
Eredivisie,2021/2022,144
Eredivisie,2022/2023,306
Eredivisie,2023/2024,306
Eredivisie,2024/2025,306
Eredivisie,2025/2026,216
La Liga,2021/2022,198
La Liga,2022/2023,380
La Liga,2023/2024,380
La Liga,2024/2025,380
La Liga,2025/2026,249
Ligue 1,2021/2022,192
Ligue 1,2022/2023,380
Ligue 1,2023/2024,306
Ligue 1,2024/2025,306
Ligue 1,2025/2026,207
Premier League,2021/2022,197
Premier League,2022/2023,380
Premier League,2023/2024,380
Premier League,2024/2025,380
Premier League,2025/2026,271
Serie A,2021/2022,191
Serie A,2022/2023,380
Serie A,2023/2024,380
Serie A,2024/2025,380
Serie A,2025/2026,260
